#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH7	MGST3	9606.ENSP00000420269	9606.ENSP00000356864	0	0	0	0	0	0	0.650	0.115	0.677
ADH7	GSTA4	9606.ENSP00000420269	9606.ENSP00000360002	0	0	0	0	0.058	0.070	0.650	0.167	0.710
ADH7	MGST2	9606.ENSP00000420269	9606.ENSP00000482639	0	0	0	0	0.042	0	0.650	0.091	0.668
AKT3	MAPK14	9606.ENSP00000500582	9606.ENSP00000229795	0	0	0.115	0.632	0.048	0.110	0.900	0.162	0.925
AKT3	PPP2R5A	9606.ENSP00000500582	9606.ENSP00000261461	0	0	0	0	0	0.154	0.650	0.169	0.732
AKT3	MAPK3	9606.ENSP00000500582	9606.ENSP00000263025	0	0	0	0.595	0.099	0.110	0.900	0.215	0.928
AKT3	RPS6KB2	9606.ENSP00000500582	9606.ENSP00000308413	0	0	0.072	0.853	0.083	0.095	0.900	0.335	0.939
AKT3	CREB3L2	9606.ENSP00000500582	9606.ENSP00000329140	0	0	0	0	0.049	0	0.650	0.108	0.677
AKT3	ATF4	9606.ENSP00000500582	9606.ENSP00000336790	0	0	0	0	0	0	0.650	0.113	0.676
AKT3	FOXO3	9606.ENSP00000500582	9606.ENSP00000339527	0	0	0	0	0	0.312	0.900	0.546	0.966
AKT3	STAT5A	9606.ENSP00000500582	9606.ENSP00000341208	0	0	0	0	0.104	0.096	0	0.541	0.596
AKT3	CREB3	9606.ENSP00000500582	9606.ENSP00000342136	0	0	0	0	0.067	0	0.650	0.166	0.703
AKT3	RAC1	9606.ENSP00000500582	9606.ENSP00000348461	0	0	0	0	0.074	0.110	0.500	0.188	0.620
AKT3	CREB1	9606.ENSP00000500582	9606.ENSP00000387699	0	0	0	0	0.083	0	0.650	0.326	0.765
AKT3	PPP2CA	9606.ENSP00000500582	9606.ENSP00000418447	0	0	0	0	0	0.330	0.650	0.167	0.787
AKT3	PIK3R1	9606.ENSP00000500582	9606.ENSP00000428056	0	0	0	0	0.071	0.093	0.900	0.768	0.977
AKT3	LYN	9606.ENSP00000500582	9606.ENSP00000428924	0	0	0.169	0.569	0.058	0.045	0.500	0.105	0.604
AKT3	IKBKG	9606.ENSP00000500582	9606.ENSP00000483825	0	0	0	0	0	0.072	0.900	0.193	0.918
AKT3	CDC42	9606.ENSP00000500582	9606.ENSP00000497733	0	0	0	0	0.106	0.110	0	0.306	0.400
ALDH3A2	HADHB	9606.ENSP00000345774	9606.ENSP00000325136	0	0	0	0	0.161	0	0.214	0.336	0.524
ALDH9A1	NDUFA2	9606.ENSP00000346827	9606.ENSP00000252102	0	0	0	0	0.101	0	0	0.389	0.427
ALDH9A1	HADHB	9606.ENSP00000346827	9606.ENSP00000325136	0	0	0	0	0.234	0.087	0.214	0.541	0.714
APC	SKP1	9606.ENSP00000257430	9606.ENSP00000231487	0	0	0	0	0.048	0	0.900	0.466	0.944
APC	WIF1	9606.ENSP00000257430	9606.ENSP00000286574	0	0	0	0	0.055	0	0	0.418	0.426
APC	WNT5A	9606.ENSP00000257430	9606.ENSP00000264634	0	0	0	0	0	0.058	0	0.448	0.458
APC	FRAT2	9606.ENSP00000257430	9606.ENSP00000360058	0	0	0	0	0	0	0.400	0.139	0.461
APC	DKK1	9606.ENSP00000257430	9606.ENSP00000363081	0	0	0	0	0	0	0	0.507	0.507
APC	CSNK2B	9606.ENSP00000257430	9606.ENSP00000365042	0	0	0	0	0	0.292	0	0.390	0.550
APC	PPP2CA	9606.ENSP00000257430	9606.ENSP00000418447	0	0	0	0	0.110	0.052	0.500	0.118	0.578
APC	HDAC1	9606.ENSP00000257430	9606.ENSP00000362649	0	0	0	0	0.057	0.068	0.500	0.174	0.588
APC	PPP2R5A	9606.ENSP00000257430	9606.ENSP00000261461	0	0	0	0	0.042	0.226	0.500	0.125	0.632
APC	WNT2	9606.ENSP00000257430	9606.ENSP00000265441	0	0	0	0	0	0.058	0.540	0.326	0.682
APC	IQGAP1	9606.ENSP00000257430	9606.ENSP00000268182	0	0	0	0	0.042	0	0	0.731	0.731
APC	CTNND1	9606.ENSP00000257430	9606.ENSP00000382004	0	0	0	0	0.056	0.087	0.720	0.202	0.781
APC	CDC42	9606.ENSP00000257430	9606.ENSP00000497733	0	0	0	0	0.043	0.628	0	0.648	0.864
APC	TBL1XR1	9606.ENSP00000257430	9606.ENSP00000405574	0	0	0	0	0.049	0.060	0.900	0.043	0.903
APC	TBL1X	9606.ENSP00000257430	9606.ENSP00000495556	0	0	0	0	0.049	0.060	0.900	0.096	0.908
APC	ASAP1	9606.ENSP00000257430	9606.ENSP00000429900	0	0	0	0	0.055	0.964	0	0	0.964
APC	CTBP1	9606.ENSP00000257430	9606.ENSP00000290921	0	0	0	0	0	0.789	0.800	0.257	0.965
APC	AXIN1	9606.ENSP00000257430	9606.ENSP00000262320	0	0	0	0	0.054	0.994	0.900	0.996	0.999
ARAF	PPP2R5A	9606.ENSP00000290277	9606.ENSP00000261461	0	0	0	0	0.074	0.095	0.400	0.092	0.482
ARAF	MAPK3	9606.ENSP00000290277	9606.ENSP00000263025	0	0	0	0.592	0.118	0.110	0.500	0.265	0.673
ARAF	IQGAP1	9606.ENSP00000290277	9606.ENSP00000268182	0	0	0	0	0.044	0	0.500	0.175	0.571
ARAF	FLT1	9606.ENSP00000290277	9606.ENSP00000282397	0	0	0	0.571	0.086	0.074	0	0.418	0.465
ARAF	MRAS	9606.ENSP00000290277	9606.ENSP00000289104	0	0	0	0	0.074	0.284	0.900	0.366	0.952
ARAF	PTPN11	9606.ENSP00000290277	9606.ENSP00000489597	0	0	0	0	0.042	0.098	0	0.419	0.454
ARAF	GAB2	9606.ENSP00000290277	9606.ENSP00000354952	0	0	0	0	0	0	0	0.486	0.485
ARAF	PPP2CA	9606.ENSP00000290277	9606.ENSP00000418447	0	0	0	0	0.049	0.097	0.400	0.146	0.501
ARAF	ITGB3	9606.ENSP00000290277	9606.ENSP00000452786	0	0	0	0	0	0.052	0.500	0.047	0.508
ARAF	ATG7	9606.ENSP00000290277	9606.ENSP00000346437	0	0	0	0	0.122	0.065	0.400	0.168	0.535
ARAF	FN1	9606.ENSP00000290277	9606.ENSP00000346839	0	0	0	0	0.055	0	0.500	0.117	0.546
ARAF	RELA	9606.ENSP00000290277	9606.ENSP00000384273	0	0	0	0	0.304	0.098	0	0.467	0.636
ARAF	PRKCE	9606.ENSP00000290277	9606.ENSP00000306124	0	0	0	0.567	0	0.087	0.650	0.071	0.677
ARAF	PRKCH	9606.ENSP00000290277	9606.ENSP00000329127	0	0	0	0.565	0.049	0.087	0.650	0.071	0.680
ARAF	CSNK2B	9606.ENSP00000290277	9606.ENSP00000365042	0	0	0	0	0.095	0.470	0	0.461	0.719
ARAF	PIK3R1	9606.ENSP00000290277	9606.ENSP00000428056	0	0	0	0	0.042	0.536	0	0.576	0.795
ARAF	PRKACA	9606.ENSP00000290277	9606.ENSP00000309591	0	0	0	0.587	0.072	0.088	0.900	0.123	0.915
ARAF	RAP1A	9606.ENSP00000290277	9606.ENSP00000358723	0	0	0	0	0.092	0.284	0.900	0.255	0.945
ARF6	HGF	9606.ENSP00000298316	9606.ENSP00000222390	0	0	0	0	0	0.064	0.500	0.305	0.646
ARF6	PFN1	9606.ENSP00000298316	9606.ENSP00000225655	0	0	0	0	0.150	0.101	0	0.294	0.414
ARF6	PLD2	9606.ENSP00000298316	9606.ENSP00000263088	0	0	0	0	0	0.071	0.900	0.836	0.983
ARF6	PIKFYVE	9606.ENSP00000298316	9606.ENSP00000264380	0	0	0	0	0.047	0.050	0	0.855	0.857
ARF6	ZAP70	9606.ENSP00000298316	9606.ENSP00000264972	0	0.002	0	0	0.074	0.110	0	0.424	0.484
ARF6	IQGAP1	9606.ENSP00000298316	9606.ENSP00000268182	0	0	0	0	0.062	0.226	0	0.727	0.785
ARF6	CFL2	9606.ENSP00000298316	9606.ENSP00000298159	0	0	0	0	0.067	0.045	0	0.444	0.461
ARF6	ROCK1	9606.ENSP00000298316	9606.ENSP00000382697	0	0	0	0	0.099	0.154	0	0.299	0.419
ARF6	CFL1	9606.ENSP00000298316	9606.ENSP00000432660	0	0	0	0	0.110	0.045	0	0.446	0.488
ARF6	FLNA	9606.ENSP00000298316	9606.ENSP00000358866	0	0	0	0	0.060	0.048	0	0.538	0.551
ARF6	RAC1	9606.ENSP00000298316	9606.ENSP00000348461	0	0	0	0	0.080	0.068	0	0.598	0.625
ARF6	CRK	9606.ENSP00000298316	9606.ENSP00000300574	0	0	0	0	0.124	0	0.500	0.334	0.683
ARF6	RHOA	9606.ENSP00000298316	9606.ENSP00000400175	0	0	0	0	0.096	0.058	0	0.696	0.719
ARF6	MET	9606.ENSP00000298316	9606.ENSP00000317272	0	0	0	0	0.074	0.274	0.500	0.288	0.728
ARF6	CDC42	9606.ENSP00000298316	9606.ENSP00000497733	0	0	0	0	0.105	0.068	0	0.713	0.740
ARF6	IKBKG	9606.ENSP00000298316	9606.ENSP00000483825	0	0	0	0	0.044	0.292	0	0.851	0.890
ARF6	PIP5K1A	9606.ENSP00000298316	9606.ENSP00000357883	0	0	0	0	0.047	0.160	0.900	0.614	0.964
ARF6	PIP5K1C	9606.ENSP00000298316	9606.ENSP00000466363	0	0	0	0	0	0.531	0.900	0.507	0.974
ARF6	ASAP1	9606.ENSP00000298316	9606.ENSP00000429900	0	0	0	0	0.042	0.535	0.900	0.827	0.991
ARHGAP5	RAC1	9606.ENSP00000371897	9606.ENSP00000348461	0	0	0	0	0	0.177	0.400	0.144	0.541
ARHGAP5	ROCK1	9606.ENSP00000371897	9606.ENSP00000382697	0	0	0	0	0.121	0.066	0	0.354	0.423
ARHGAP5	ITGB1	9606.ENSP00000371897	9606.ENSP00000379350	0	0	0	0	0.049	0.071	0	0.423	0.446
ARHGAP5	CTNND1	9606.ENSP00000371897	9606.ENSP00000382004	0	0	0	0	0.088	0	0	0.733	0.746
ARHGAP5	CDC42	9606.ENSP00000371897	9606.ENSP00000497733	0	0	0	0	0	0.214	0.400	0.552	0.770
ARHGAP5	RHOA	9606.ENSP00000371897	9606.ENSP00000400175	0	0	0	0	0	0.708	0.900	0.757	0.992
ARHGEF1	AXIN1	9606.ENSP00000337261	9606.ENSP00000262320	0	0	0	0	0.062	0	0	0.425	0.437
ARHGEF1	CFL2	9606.ENSP00000337261	9606.ENSP00000298159	0	0	0	0	0.047	0	0	0.570	0.573
ARHGEF1	PPP1R12A	9606.ENSP00000337261	9606.ENSP00000389168	0	0	0	0	0.078	0	0	0.409	0.432
ARHGEF1	VAV3	9606.ENSP00000337261	9606.ENSP00000359073	0	0	0	0.554	0	0	0.400	0.131	0.456
ARHGEF1	RAP1A	9606.ENSP00000337261	9606.ENSP00000358723	0	0	0	0	0.042	0.360	0	0.205	0.470
ARHGEF1	VAV1	9606.ENSP00000337261	9606.ENSP00000472929	0	0	0	0.556	0.084	0	0.400	0.187	0.514
ARHGEF1	FN1	9606.ENSP00000337261	9606.ENSP00000346839	0	0	0	0	0	0.072	0	0.508	0.523
ARHGEF1	RAC1	9606.ENSP00000337261	9606.ENSP00000348461	0	0	0	0	0.086	0.134	0.400	0.172	0.554
ARHGEF1	CFL1	9606.ENSP00000337261	9606.ENSP00000432660	0	0	0	0	0.060	0	0	0.568	0.577
ARHGEF1	ROCK1	9606.ENSP00000337261	9606.ENSP00000382697	0	0	0	0	0.074	0.068	0.500	0.581	0.795
ARHGEF1	ARHGEF11	9606.ENSP00000337261	9606.ENSP00000357177	0	0	0	0.790	0.050	0	0.900	0.278	0.925
ARHGEF1	CDC42	9606.ENSP00000337261	9606.ENSP00000497733	0	0	0	0	0.088	0.134	0.900	0.556	0.960
ARHGEF1	RHOA	9606.ENSP00000337261	9606.ENSP00000400175	0	0	0	0	0.100	0.760	0.900	0.906	0.997
ARHGEF11	TJP1	9606.ENSP00000357177	9606.ENSP00000348416	0	0	0	0	0.042	0.057	0	0.790	0.793
ARHGEF11	RAC1	9606.ENSP00000357177	9606.ENSP00000348461	0	0	0	0	0.086	0.234	0.400	0.157	0.598
ARHGEF11	CFL1	9606.ENSP00000357177	9606.ENSP00000432660	0	0	0	0	0.047	0	0	0.398	0.402
ARHGEF11	PPP1R12A	9606.ENSP00000357177	9606.ENSP00000389168	0	0	0	0	0.053	0	0	0.417	0.425
ARHGEF11	ROCK1	9606.ENSP00000357177	9606.ENSP00000382697	0	0	0	0	0.058	0.068	0.500	0.412	0.707
ARHGEF11	CDC42	9606.ENSP00000357177	9606.ENSP00000497733	0	0	0	0	0.086	0.648	0.400	0.518	0.894
ARHGEF11	RHOA	9606.ENSP00000357177	9606.ENSP00000400175	0	0	0	0	0.093	0.983	0.900	0.963	0.999
ARPC3	MYH9	9606.ENSP00000228825	9606.ENSP00000216181	0	0	0	0	0.106	0.167	0.500	0.158	0.645
ARPC3	PFN1	9606.ENSP00000228825	9606.ENSP00000225655	0	0	0	0	0.240	0	0	0.458	0.571
ARPC3	RHOA	9606.ENSP00000228825	9606.ENSP00000400175	0	0	0	0	0.187	0.045	0	0.325	0.430
ARPC3	PAK2	9606.ENSP00000228825	9606.ENSP00000314067	0	0	0	0	0.049	0.065	0	0.464	0.481
ARPC3	CFL2	9606.ENSP00000228825	9606.ENSP00000298159	0	0	0	0	0.076	0	0	0.472	0.492
ARPC3	FCGR3A	9606.ENSP00000228825	9606.ENSP00000356946	0	0	0	0	0.056	0	0.500	0	0.507
ARPC3	CFL1	9606.ENSP00000228825	9606.ENSP00000432660	0	0	0	0	0.132	0	0	0.472	0.522
ARPC3	RAC1	9606.ENSP00000228825	9606.ENSP00000348461	0	0	0	0	0.095	0.045	0.500	0.135	0.576
ARPC3	IQGAP1	9606.ENSP00000228825	9606.ENSP00000268182	0	0	0	0	0.074	0.162	0	0.515	0.590
ARPC3	NCK1	9606.ENSP00000228825	9606.ENSP00000417273	0	0	0	0	0.063	0	0.500	0.293	0.640
ARPC3	WASF3	9606.ENSP00000228825	9606.ENSP00000335055	0	0	0	0	0	0.100	0.650	0.332	0.771
ARPC3	CYFIP2	9606.ENSP00000228825	9606.ENSP00000479719	0	0	0	0	0.083	0	0.650	0.344	0.771
ARPC3	CDC42	9606.ENSP00000228825	9606.ENSP00000497733	0	0	0	0	0.446	0.166	0.500	0.396	0.841
ARPC3	ARPC5	9606.ENSP00000228825	9606.ENSP00000294742	0	0	0	0	0.803	0.997	0.900	0.999	0.999
ARPC5	MYH9	9606.ENSP00000294742	9606.ENSP00000216181	0	0	0	0	0.138	0.049	0.500	0.188	0.622
ARPC5	PFN1	9606.ENSP00000294742	9606.ENSP00000225655	0	0	0	0	0.187	0	0	0.457	0.540
ARPC5	CFL2	9606.ENSP00000294742	9606.ENSP00000298159	0	0	0	0	0.106	0	0	0.415	0.455
ARPC5	RHOA	9606.ENSP00000294742	9606.ENSP00000400175	0	0	0	0	0.426	0	0	0.214	0.530
ARPC5	FCGR3A	9606.ENSP00000294742	9606.ENSP00000356946	0	0	0	0	0.108	0	0.500	0	0.534
ARPC5	RAC1	9606.ENSP00000294742	9606.ENSP00000348461	0	0	0	0	0.088	0	0.500	0.109	0.558
ARPC5	CFL1	9606.ENSP00000294742	9606.ENSP00000432660	0	0	0	0	0.304	0	0	0.420	0.579
ARPC5	NCK1	9606.ENSP00000294742	9606.ENSP00000417273	0	0	0	0	0.073	0	0.500	0.184	0.589
ARPC5	WASF3	9606.ENSP00000294742	9606.ENSP00000335055	0	0	0	0	0	0	0.650	0.240	0.722
ARPC5	CYFIP2	9606.ENSP00000294742	9606.ENSP00000479719	0	0	0	0	0.093	0	0.650	0.296	0.757
ARPC5	CDC42	9606.ENSP00000294742	9606.ENSP00000497733	0	0	0	0	0.265	0.315	0.500	0.317	0.805
ASAP1	CBL	9606.ENSP00000429900	9606.ENSP00000264033	0	0	0	0	0.128	0.297	0	0.240	0.494
ASAP1	CRK	9606.ENSP00000429900	9606.ENSP00000300574	0	0	0	0	0.050	0.748	0	0.711	0.924
ASAP1	HCK	9606.ENSP00000429900	9606.ENSP00000365012	0	0	0	0	0.084	0.416	0	0.125	0.491
ASAP1	NCK1	9606.ENSP00000429900	9606.ENSP00000417273	0	0	0	0	0.044	0.332	0	0.149	0.410
ASAP1	IKBKG	9606.ENSP00000429900	9606.ENSP00000483825	0	0	0	0	0.042	0	0	0.970	0.970
ATF4	CREBBP	9606.ENSP00000336790	9606.ENSP00000262367	0	0	0	0	0.042	0.783	0.900	0.478	0.987
ATF4	MAPK3	9606.ENSP00000336790	9606.ENSP00000263025	0	0	0	0	0	0	0.650	0.317	0.750
ATF4	PRKACA	9606.ENSP00000336790	9606.ENSP00000309591	0	0	0	0	0	0	0.900	0.291	0.926
ATF4	PPP1CA	9606.ENSP00000336790	9606.ENSP00000326031	0	0	0	0	0.048	0	0.650	0.138	0.687
ATF4	CREB3L2	9606.ENSP00000336790	9606.ENSP00000329140	0	0	0	0	0	0	0.900	0.303	0.927
ATF4	ATG7	9606.ENSP00000336790	9606.ENSP00000346437	0	0	0	0	0	0	0	0.428	0.428
ATF4	GCLM	9606.ENSP00000336790	9606.ENSP00000359258	0	0	0	0	0	0	0	0.660	0.660
ATF4	CREB3	9606.ENSP00000336790	9606.ENSP00000342136	0	0	0	0	0.048	0.133	0.900	0.360	0.940
ATF4	CREB1	9606.ENSP00000336790	9606.ENSP00000387699	0	0	0	0	0	0.095	0.900	0.591	0.959
ATG4A	ATG4D	9606.ENSP00000361306	9606.ENSP00000311318	0	0	0	0.796	0.049	0	0	0.491	0.495
ATG4A	ATG7	9606.ENSP00000361306	9606.ENSP00000346437	0	0	0	0	0.119	0.163	0	0.872	0.897
ATG4D	ATG7	9606.ENSP00000311318	9606.ENSP00000346437	0	0	0	0	0.107	0.139	0	0.899	0.916
ATG7	MAPK3	9606.ENSP00000346437	9606.ENSP00000263025	0	0	0	0	0.123	0.045	0	0.434	0.485
ATG7	RPS6KB2	9606.ENSP00000346437	9606.ENSP00000308413	0	0	0	0	0.062	0	0	0.416	0.429
ATG7	FOXO3	9606.ENSP00000346437	9606.ENSP00000339527	0	0	0	0	0.060	0.059	0	0.781	0.790
ATG7	HDAC1	9606.ENSP00000346437	9606.ENSP00000362649	0	0	0	0	0.074	0.045	0	0.538	0.556
ATP6V0B	COX6A1	9606.ENSP00000434729	9606.ENSP00000229379	0	0	0	0	0.236	0.068	0	0.316	0.470
ATP6V0B	ATP6V1E1	9606.ENSP00000434729	9606.ENSP00000253413	0.086	0	0	0	0.651	0.967	0.820	0.716	0.999
ATP6V0B	ATP6V0D1	9606.ENSP00000434729	9606.ENSP00000290949	0.086	0	0	0	0.718	0.967	0.935	0.847	0.999
ATP6V0B	ATP6V1G2	9606.ENSP00000434729	9606.ENSP00000302194	0	0	0	0	0.139	0.941	0.720	0.708	0.995
ATP6V0B	UQCRFS1	9606.ENSP00000434729	9606.ENSP00000306397	0	0	0	0	0.418	0	0	0.303	0.577
ATP6V0B	COX5A	9606.ENSP00000434729	9606.ENSP00000317780	0	0	0	0	0.316	0.112	0	0.280	0.525
ATP6V0B	ATP6V0C	9606.ENSP00000434729	9606.ENSP00000329757	0	0	0	0.803	0.826	0.991	0.967	0.718	0.999
ATP6V0B	UQCRQ	9606.ENSP00000434729	9606.ENSP00000367939	0	0	0	0	0.321	0	0	0.290	0.498
ATP6V0B	ATP6V0E2	9606.ENSP00000434729	9606.ENSP00000411672	0	0	0	0	0.115	0.841	0.720	0.799	0.991
ATP6V0B	NDUFAB1	9606.ENSP00000434729	9606.ENSP00000458770	0.055	0	0	0	0.283	0	0	0.256	0.452
ATP6V0C	COX6A1	9606.ENSP00000329757	9606.ENSP00000229379	0	0	0	0	0.204	0.076	0	0.335	0.469
ATP6V0C	ATP6V1E1	9606.ENSP00000329757	9606.ENSP00000253413	0.086	0	0	0	0.596	0.967	0.820	0.830	0.999
ATP6V0C	ATP6V0D1	9606.ENSP00000329757	9606.ENSP00000290949	0.086	0	0	0	0.676	0.992	0.935	0.842	0.999
ATP6V0C	ATP6V1G2	9606.ENSP00000329757	9606.ENSP00000302194	0	0	0	0	0.111	0.906	0.720	0.630	0.990
ATP6V0C	UQCRFS1	9606.ENSP00000329757	9606.ENSP00000306397	0	0	0	0	0.418	0	0	0.334	0.596
ATP6V0C	COX5A	9606.ENSP00000329757	9606.ENSP00000317780	0	0	0	0	0.325	0.112	0	0.216	0.489
ATP6V0C	NDUFAB1	9606.ENSP00000329757	9606.ENSP00000458770	0.055	0	0	0	0.253	0	0	0.234	0.412
ATP6V0C	UQCRQ	9606.ENSP00000329757	9606.ENSP00000367939	0	0	0	0	0.305	0	0	0.259	0.463
ATP6V0C	ATP6V0E2	9606.ENSP00000329757	9606.ENSP00000411672	0	0	0	0	0.140	0.841	0.720	0.491	0.977
ATP6V0D1	COX6A1	9606.ENSP00000290949	9606.ENSP00000229379	0	0	0	0	0.083	0	0	0.501	0.523
ATP6V0D1	ATP6V1E1	9606.ENSP00000290949	9606.ENSP00000253413	0.111	0	0	0	0.731	0.969	0.956	0.831	0.999
ATP6V0D1	NDUFC1	9606.ENSP00000290949	9606.ENSP00000441126	0	0	0	0	0.042	0	0	0.478	0.479
ATP6V0D1	ATP6V0E2	9606.ENSP00000290949	9606.ENSP00000411672	0	0	0	0	0.084	0.748	0.720	0.292	0.948
ATP6V0D1	ATP6V1G2	9606.ENSP00000290949	9606.ENSP00000302194	0	0	0	0	0.111	0.764	0.720	0.710	0.980
ATP6V0E2	ATP6V1E1	9606.ENSP00000411672	9606.ENSP00000253413	0	0	0	0	0.142	0.748	0.720	0.448	0.962
ATP6V0E2	ATP6V1G2	9606.ENSP00000411672	9606.ENSP00000302194	0	0	0	0	0.192	0.788	0.720	0.470	0.971
ATP6V1E1	COX7A2	9606.ENSP00000253413	9606.ENSP00000359098	0	0	0	0	0.272	0	0	0.266	0.444
ATP6V1E1	NDUFB5	9606.ENSP00000253413	9606.ENSP00000259037	0	0	0	0	0.195	0	0	0.339	0.446
ATP6V1E1	COX5A	9606.ENSP00000253413	9606.ENSP00000317780	0	0	0	0	0.314	0	0	0.271	0.478
ATP6V1E1	ATP6V1G2	9606.ENSP00000253413	9606.ENSP00000302194	0	0	0	0	0.204	0.953	0.720	0.837	0.998
ATP6V1G2	UQCRQ	9606.ENSP00000302194	9606.ENSP00000367939	0	0	0	0	0.240	0	0	0.286	0.434
AXIN1	SKP1	9606.ENSP00000262320	9606.ENSP00000231487	0	0	0	0	0	0	0.500	0.588	0.785
